loan_id,borrower_id,application_date,event_date,days_to_event,event_type,defaulted,loss_given_default,loss_amount,default_probability
L000723,B0235,2024-01-08,2024-04-07,90,maturity,False,0.0,0.0,0.0
L000724,B0235,2023-10-17,2024-04-14,180,maturity,False,0.0,0.0,0.0
L000725,B0236,2023-12-13,2024-12-12,365,maturity,False,0.0,0.0,0.0
L000726,B0236,2023-02-23,2023-05-24,90,maturity,False,0.0,0.0,0.0
L000727,B0236,2023-03-09,2023-06-07,90,maturity,False,0.0,0.0,0.0
L000728,B0236,2023-04-07,2024-04-06,365,maturity,False,0.0,0.0,0.0
L000729,B0237,2023-10-18,2024-01-16,90,maturity,False,0.0,0.0,0.0
L000730,B0237,2024-11-03,2025-11-03,365,maturity,False,0.0,0.0,0.0
L000731,B0237,2023-06-03,2023-09-01,90,maturity,False,0.0,0.0,0.0
L000732,B0237,2023-03-25,2024-03-24,365,maturity,False,0.0,0.0,0.0
L000733,B0238,2023-12-25,2024-03-24,90,maturity,False,0.0,0.0,0.0
L000734,B0238,2024-11-02,2025-05-01,180,maturity,False,0.0,0.0,0.0
L000735,B0239,2024-09-01,2024-10-01,30,maturity,False,0.0,0.0,0.0
L000736,B0239,2023-11-14,2024-11-13,365,maturity,False,0.0,0.0,0.0
L000737,B0240,2024-10-20,2025-01-18,90,maturity,False,0.0,0.0,9.672453172901987e-116
L000738,B0240,2023-05-11,2024-05-10,365,maturity,False,0.0,0.0,0.0
L000739,B0240,2023-04-06,2023-10-03,180,maturity,False,0.0,0.0,0.0
L000740,B0240,2024-06-04,2024-09-02,90,maturity,False,0.0,0.0,0.0
L000741,B0241,2024-01-07,2024-04-06,90,maturity,False,0.0,0.0,0.0
L000742,B0242,2023-08-08,2023-11-06,90,maturity,False,0.0,0.0,0.0
L000743,B0242,2024-05-12,2024-07-11,60,maturity,False,0.0,0.0,0.0
L000744,B0243,2023-05-21,2023-07-20,60,maturity,False,0.0,0.0,0.0
L000745,B0243,2023-03-21,2023-06-19,90,maturity,False,0.0,0.0,0.0
L000746,B0244,2024-06-03,2025-06-03,365,maturity,False,0.0,0.0,0.0
L000747,B0245,2023-02-08,2023-05-09,90,maturity,False,0.0,0.0,0.0
L000748,B0245,2024-09-24,2024-11-23,60,maturity,False,0.0,0.0,0.0
L000749,B0245,2024-09-03,2025-03-02,180,maturity,False,0.0,0.0,0.0
L000750,B0245,2023-06-07,2023-08-06,60,maturity,False,0.0,0.0,0.0
L000751,B0245,2023-07-05,2024-07-04,365,maturity,False,0.0,0.0,0.0
L000752,B0246,2024-03-24,2024-04-23,30,maturity,False,0.0,0.0,0.0
L000753,B0246,2024-02-25,2024-05-25,90,maturity,False,0.0,0.0,0.0
L000754,B0247,2024-03-30,2025-03-30,365,maturity,False,0.0,0.0,0.0
L000755,B0247,2023-10-19,2024-04-16,180,maturity,False,0.0,0.0,0.0
L000756,B0248,2024-06-30,2024-08-29,60,maturity,False,0.0,0.0,0.0
L000757,B0248,2023-11-13,2024-05-11,180,maturity,False,0.0,0.0,0.0
L000758,B0249,2024-01-12,2025-01-11,365,maturity,False,0.0,0.0,0.0
L000759,B0249,2024-03-27,2024-09-23,180,maturity,False,0.0,0.0,0.0
L000760,B0250,2024-01-27,2025-01-26,365,maturity,False,0.0,0.0,0.0
L000761,B0250,2024-06-24,2024-12-21,180,maturity,False,0.0,0.0,0.0
L000762,B0250,2023-06-15,2023-08-14,60,maturity,False,0.0,0.0,0.0
L000763,B0251,2023-05-22,2023-08-20,90,maturity,False,0.0,0.0,0.0
L000764,B0251,2023-02-23,2023-08-22,180,maturity,False,0.0,0.0,0.0
L000765,B0251,2024-01-16,2024-10-20,278,default,True,0.14430077509284686,7452.42050212079,1.0
L000766,B0251,2023-04-16,2024-04-15,365,maturity,False,0.0,0.0,0.0
L000767,B0251,2023-05-08,2023-08-06,90,maturity,False,0.0,0.0,0.0
L000768,B0252,2023-06-14,2023-09-12,90,maturity,False,0.0,0.0,0.0
L000769,B0253,2024-06-09,2024-08-08,60,maturity,False,0.0,0.0,0.0
L000770,B0253,2024-03-23,2024-04-22,30,maturity,False,0.0,0.0,0.0
L000771,B0253,2023-08-16,2024-02-12,180,maturity,False,0.0,0.0,0.0
L000772,B0253,2023-12-24,2024-01-23,30,maturity,False,0.0,0.0,0.0
L000773,B0254,2023-02-24,2023-08-23,180,maturity,False,0.0,0.0,0.0
L000774,B0254,2024-05-29,2024-08-27,90,maturity,False,0.0,0.0,0.0
L000775,B0254,2023-08-30,2024-02-26,180,maturity,False,0.0,0.0,0.0
L000776,B0254,2023-03-25,2023-06-23,90,maturity,False,0.0,0.0,0.0
L000777,B0255,2023-01-29,2023-04-29,90,maturity,False,0.0,0.0,0.0
L000778,B0255,2023-04-12,2023-07-11,90,maturity,False,0.0,0.0,0.0
L000779,B0256,2023-05-21,2023-06-20,30,maturity,False,0.0,0.0,0.0
L000780,B0256,2023-10-21,2024-04-18,180,maturity,False,0.0,0.0,0.0
L000781,B0257,2024-12-23,2025-06-21,180,maturity,False,0.0,0.0,0.0
L000782,B0257,2024-04-04,2025-04-04,365,maturity,False,0.0,0.0,0.0
L000783,B0258,2023-03-23,2023-04-22,30,maturity,False,0.0,0.0,0.0
L000784,B0259,2023-08-09,2023-10-08,60,maturity,False,0.0,0.0,0.0
L000785,B0259,2024-07-15,2025-07-15,365,maturity,False,0.0,0.0,0.0
L000786,B0259,2024-06-24,2024-12-21,180,maturity,False,0.0,0.0,0.0
L000787,B0260,2023-10-23,2023-12-22,60,maturity,False,0.0,0.0,0.0
L000788,B0261,2023-05-05,2023-06-04,30,maturity,False,0.0,0.0,0.0
L000789,B0261,2023-09-02,2024-02-29,180,maturity,False,0.0,0.0,0.0
L000790,B0261,2024-10-16,2025-10-16,365,maturity,False,0.0,0.0,0.0
L000791,B0262,2023-03-06,2023-04-05,30,maturity,False,0.0,0.0,0.0
L000792,B0262,2024-05-26,2025-05-26,365,maturity,False,0.0,0.0,0.0
L000793,B0262,2024-07-02,2024-08-01,30,maturity,False,0.0,0.0,0.0
L000794,B0262,2024-10-09,2025-10-09,365,maturity,False,0.0,0.0,0.0
L000795,B0263,2023-09-05,2023-11-04,60,maturity,False,0.0,0.0,0.0
L000796,B0263,2023-10-26,2024-04-23,180,maturity,False,0.0,0.0,0.0
L000797,B0263,2023-01-02,2024-01-02,365,maturity,False,0.0,0.0,0.0
L000798,B0263,2023-12-28,2024-02-26,60,maturity,False,0.0,0.0,0.0
L000799,B0263,2024-08-07,2025-02-03,180,maturity,False,0.0,0.0,0.0
L000800,B0264,2024-11-11,2024-12-11,30,maturity,False,0.0,0.0,0.0
L000801,B0264,2024-06-20,2024-09-18,90,maturity,False,0.0,0.0,0.0
L000802,B0265,2024-06-22,2025-06-22,365,maturity,False,0.0,0.0,0.0
L000803,B0266,2024-06-03,2025-06-03,365,maturity,False,0.0,0.0,0.0
L000804,B0266,2023-01-21,2023-07-20,180,maturity,False,0.0,0.0,0.0
L000805,B0266,2024-04-26,2024-05-26,30,maturity,False,0.0,0.0,0.0
L000806,B0266,2024-10-12,2025-04-10,180,maturity,False,0.0,0.0,0.0
L000807,B0266,2024-01-18,2024-01-31,13,default,True,0.13540022504606664,7278.873344172948,1.0
L000808,B0267,2024-01-01,2024-01-31,30,maturity,False,0.0,0.0,0.0
L000809,B0268,2023-09-04,2023-10-04,30,maturity,False,0.0,0.0,0.0
L000810,B0268,2024-08-18,2024-11-16,90,maturity,False,0.0,0.0,0.0
L000811,B0268,2023-05-17,2023-06-16,30,maturity,False,0.0,0.0,0.0
L000812,B0269,2024-07-13,2024-10-11,90,maturity,False,0.0,0.0,0.0
L000813,B0269,2024-10-20,2024-12-19,60,maturity,False,0.0,0.0,0.0
L000814,B0269,2024-12-02,2025-05-31,180,maturity,False,0.0,0.0,0.0
L000815,B0270,2024-10-08,2024-12-07,60,maturity,False,0.0,0.0,0.0
L000816,B0270,2023-05-19,2023-06-18,30,maturity,False,0.0,0.0,0.0
L000817,B0270,2024-04-13,2024-05-13,30,maturity,False,0.0,0.0,0.0
L000818,B0270,2023-10-28,2023-12-27,60,maturity,False,0.0,0.0,0.0
L000819,B0271,2023-07-24,2023-08-23,30,maturity,False,0.0,0.0,0.0
L000820,B0272,2023-11-14,2024-11-13,365,maturity,False,0.0,0.0,0.0
L000821,B0272,2024-02-12,2025-02-11,365,maturity,False,0.0,0.0,0.0
L000822,B0272,2024-04-29,2024-07-28,90,maturity,False,0.0,0.0,0.0
L000823,B0273,2024-10-24,2024-12-23,60,maturity,False,0.0,0.0,0.0
L000824,B0274,2024-01-01,2024-01-31,30,maturity,False,0.0,0.0,0.0
L000825,B0274,2024-11-02,2025-01-31,90,maturity,False,0.0,0.0,0.0
L000826,B0274,2023-10-07,2023-10-08,1,default,True,0.33799356025283134,20334.706364241643,1.0
L000827,B0275,2024-03-23,2024-09-19,180,maturity,False,0.0,0.0,0.0
L000828,B0275,2024-03-26,2024-09-22,180,maturity,False,0.0,0.0,0.0
L000829,B0275,2023-12-14,2024-02-12,60,maturity,False,0.0,0.0,0.0
L000830,B0276,2024-12-09,2025-06-07,180,maturity,False,0.0,0.0,0.0
L000831,B0276,2024-01-12,2025-01-11,365,maturity,False,0.0,0.0,0.0
L000832,B0276,2023-10-01,2023-10-31,30,maturity,False,0.0,0.0,0.0
L000833,B0276,2024-03-10,2024-04-09,30,maturity,False,0.0,0.0,0.0
L000834,B0277,2024-09-08,2024-11-07,60,maturity,False,0.0,0.0,0.0
L000835,B0277,2024-07-12,2024-10-10,90,maturity,False,0.0,0.0,0.0
L000836,B0277,2023-11-25,2023-12-25,30,maturity,False,0.0,0.0,0.0
L000837,B0277,2023-03-23,2023-06-21,90,maturity,False,0.0,0.0,0.0
L000838,B0278,2023-11-10,2024-05-08,180,maturity,False,0.0,0.0,0.0
L000839,B0278,2024-09-09,2025-03-08,180,maturity,False,0.0,0.0,0.0
L000840,B0278,2023-06-20,2023-12-17,180,maturity,False,0.0,0.0,0.0
L000841,B0279,2024-04-02,2024-05-02,30,maturity,False,0.0,0.0,0.0
L000842,B0279,2023-12-28,2024-12-27,365,maturity,False,0.0,0.0,0.0
L000843,B0279,2024-03-21,2024-06-19,90,maturity,False,0.0,0.0,0.0
L000844,B0280,2023-03-18,2023-05-31,74,default,True,0.12676059576037274,2883.774846721344,1.0
L000845,B0281,2024-06-09,2024-08-08,60,maturity,False,0.0,0.0,0.0
L000846,B0281,2023-02-01,2023-04-02,60,maturity,False,0.0,0.0,0.0
L000847,B0281,2024-09-14,2025-03-13,180,maturity,False,0.0,0.0,0.0
L000848,B0282,2023-05-10,2023-06-09,30,maturity,False,0.0,0.0,0.0
L000849,B0283,2024-10-22,2025-01-20,90,maturity,False,0.0,0.0,0.0
L000850,B0283,2024-01-06,2024-07-04,180,maturity,False,0.0,0.0,0.0
L000851,B0284,2023-02-03,2024-02-03,365,maturity,False,0.0,0.0,0.0
L000852,B0284,2023-06-07,2023-12-04,180,maturity,False,0.0,0.0,0.0
L000853,B0284,2024-01-15,2024-04-14,90,maturity,False,0.0,0.0,0.0
L000854,B0284,2024-03-30,2024-04-29,30,maturity,False,0.0,0.0,0.0
L000855,B0284,2024-08-10,2024-10-09,60,maturity,False,0.0,0.0,0.0
L000856,B0285,2024-01-11,2024-07-09,180,maturity,False,0.0,0.0,0.0
L000857,B0285,2023-11-18,2024-02-16,90,maturity,False,0.0,0.0,0.0
L000858,B0285,2023-09-13,2023-10-13,30,maturity,False,0.0,0.0,0.0
L000859,B0285,2023-01-27,2023-03-28,60,maturity,False,0.0,0.0,0.0
L000860,B0285,2024-05-26,2025-05-26,365,maturity,False,0.0,0.0,0.0
L000861,B0286,2024-07-29,2024-08-28,30,maturity,False,0.0,0.0,0.0
L000862,B0286,2023-09-26,2023-12-25,90,maturity,False,0.0,0.0,0.0
L000863,B0286,2024-12-21,2025-06-19,180,maturity,False,0.0,0.0,0.0
L000864,B0286,2023-08-08,2024-08-07,365,maturity,False,0.0,0.0,0.0
L000865,B0287,2024-12-11,2025-06-09,180,maturity,False,0.0,0.0,0.0
L000866,B0287,2023-07-24,2023-08-23,30,maturity,False,0.0,0.0,0.0
L000867,B0287,2023-05-19,2023-06-18,30,maturity,False,0.0,0.0,0.0
L000868,B0288,2023-06-26,2023-12-23,180,maturity,False,0.0,0.0,0.0
L000869,B0288,2023-03-31,2023-06-29,90,maturity,False,0.0,0.0,0.0
L000870,B0288,2024-11-14,2025-02-12,90,maturity,False,0.0,0.0,0.0
L000871,B0288,2024-12-27,2025-01-26,30,maturity,False,0.0,0.0,0.0
L000872,B0289,2024-07-09,2024-10-07,90,maturity,False,0.0,0.0,0.0
L000873,B0289,2023-11-04,2024-01-03,60,maturity,False,0.0,0.0,0.0
L000874,B0289,2024-12-29,2025-02-27,60,maturity,False,0.0,0.0,0.0
L000875,B0289,2024-01-06,2025-01-05,365,maturity,False,0.0,0.0,0.0
L000876,B0289,2023-08-18,2023-09-17,30,maturity,False,0.0,0.0,0.0
L000877,B0290,2023-05-23,2023-07-22,60,maturity,False,0.0,0.0,0.0
L000878,B0290,2024-05-20,2024-06-19,30,maturity,False,0.0,0.0,0.0
L000879,B0291,2024-07-21,2025-07-21,365,maturity,False,0.0,0.0,0.0
L000880,B0291,2024-01-13,2024-07-11,180,maturity,False,0.0,0.0,0.0
L000881,B0291,2024-07-18,2024-09-16,60,maturity,False,0.0,0.0,0.0
L000882,B0292,2023-03-30,2023-04-29,30,maturity,False,0.0,0.0,0.0
L000883,B0292,2023-11-13,2024-05-11,180,maturity,False,0.0,0.0,0.0
L000884,B0292,2024-05-05,2025-05-05,365,maturity,False,0.0,0.0,0.0
L000885,B0292,2024-02-25,2024-08-23,180,maturity,False,0.0,0.0,0.0
L000886,B0292,2024-08-11,2024-09-10,30,maturity,False,0.0,0.0,0.0
L000887,B0293,2023-11-21,2023-12-21,30,maturity,False,0.0,0.0,0.0
L000888,B0293,2024-04-05,2024-10-02,180,maturity,False,0.0,0.0,0.0
L000889,B0294,2023-12-19,2024-02-17,60,maturity,False,0.0,0.0,0.0
L000890,B0294,2024-07-18,2025-07-18,365,maturity,False,0.0,0.0,0.0
L000891,B0294,2023-07-06,2023-09-04,60,maturity,False,0.0,0.0,0.0
L000892,B0294,2024-03-19,2025-03-19,365,maturity,False,0.0,0.0,0.0
L000893,B0294,2023-02-26,2023-03-28,30,maturity,False,0.0,0.0,0.0
L000894,B0295,2023-06-06,2023-09-04,90,maturity,False,0.0,0.0,0.0
L000895,B0295,2023-06-18,2023-08-17,60,maturity,False,0.0,0.0,0.0
L000896,B0295,2023-11-27,2024-01-26,60,maturity,False,0.0,0.0,0.0
L000897,B0295,2023-12-21,2024-12-20,365,maturity,False,0.0,0.0,0.0
L000898,B0295,2023-10-18,2023-11-17,30,maturity,False,0.0,0.0,0.0
L000899,B0296,2023-07-21,2024-07-20,365,maturity,False,0.0,0.0,0.0
L000900,B0296,2023-10-09,2023-12-08,60,maturity,False,0.0,0.0,0.0
L000901,B0296,2024-10-02,2024-12-31,90,maturity,False,0.0,0.0,0.0
L000902,B0297,2024-06-30,2024-07-30,30,maturity,False,0.0,0.0,0.0
L000903,B0297,2024-05-29,2024-07-28,60,maturity,False,0.0,0.0,0.0
L000904,B0297,2024-08-29,2025-08-29,365,maturity,False,0.0,0.0,0.0
L000905,B0297,2023-06-07,2023-08-06,60,maturity,False,0.0,0.0,0.0
L000906,B0297,2024-11-05,2025-11-05,365,maturity,False,0.0,0.0,0.0
L000907,B0298,2023-12-12,2024-12-11,365,maturity,False,0.0,0.0,0.0
L000908,B0298,2023-02-12,2023-03-14,30,maturity,False,0.0,0.0,0.0
L000909,B0298,2023-03-25,2023-04-24,30,maturity,False,0.0,0.0,0.0
L000910,B0298,2024-10-18,2025-10-18,365,maturity,False,0.0,0.0,0.0
L000911,B0298,2023-09-29,2023-10-01,2,default,True,0.061794111370730403,11088.158975986491,1.0
L000912,B0299,2024-03-02,2025-03-02,365,maturity,False,0.0,0.0,0.0
L000913,B0299,2024-10-16,2024-11-15,30,maturity,False,0.0,0.0,0.0
L000914,B0299,2024-05-24,2025-05-24,365,maturity,False,0.0,0.0,0.0
L000915,B0299,2023-10-24,2024-01-22,90,maturity,False,0.0,0.0,0.0
L000916,B0299,2024-05-09,2024-07-08,60,maturity,False,0.0,0.0,0.0
L000917,B0300,2023-11-01,2024-04-29,180,maturity,False,0.0,0.0,0.0
L000918,B0300,2023-03-16,2023-04-15,30,maturity,False,0.0,0.0,0.0
L000919,B0300,2023-06-11,2023-12-08,180,maturity,False,0.0,0.0,0.0
L000920,B0300,2024-03-01,2024-08-28,180,maturity,False,0.0,0.0,0.0
L000921,B0301,2023-07-28,2023-10-26,90,maturity,False,0.0,0.0,0.0
L000922,B0301,2024-09-13,2024-11-12,60,maturity,False,0.0,0.0,0.0
L000923,B0301,2023-11-17,2024-02-15,90,maturity,False,0.0,0.0,0.0
L000924,B0301,2023-12-20,2024-06-17,180,maturity,False,0.0,0.0,0.0
L000925,B0302,2024-01-15,2025-01-14,365,maturity,False,0.0,0.0,0.0
L000926,B0302,2024-07-29,2024-08-28,30,maturity,False,0.0,0.0,0.0
L000927,B0303,2023-09-05,2024-03-03,180,maturity,False,0.0,0.0,0.0
L000928,B0303,2023-05-06,2023-08-04,90,maturity,False,0.0,0.0,0.0
L000929,B0303,2024-04-05,2024-06-04,60,maturity,False,0.0,0.0,0.0
L000930,B0304,2023-04-10,2023-05-10,30,maturity,False,0.0,0.0,0.0
L000931,B0304,2023-10-25,2024-04-22,180,maturity,False,0.0,0.0,0.0
L000932,B0305,2024-03-04,2024-05-03,60,maturity,False,0.0,0.0,0.0
L000933,B0305,2023-06-13,2023-09-11,90,maturity,False,0.0,0.0,0.0
L000934,B0305,2024-08-14,2024-11-12,90,maturity,False,0.0,0.0,0.0
L000935,B0305,2023-07-14,2023-09-12,60,maturity,False,0.0,0.0,0.0
L000936,B0305,2024-05-25,2025-05-25,365,maturity,False,0.0,0.0,0.0
L000937,B0306,2024-05-25,2024-08-23,90,maturity,False,0.0,0.0,0.0
L000938,B0306,2024-05-24,2024-06-23,30,maturity,False,0.0,0.0,0.0
L000939,B0306,2023-04-03,2023-09-30,180,maturity,False,0.0,0.0,0.0
L000940,B0306,2024-06-01,2024-11-28,180,maturity,False,0.0,0.0,0.0
L000941,B0307,2023-08-09,2024-08-08,365,maturity,False,0.0,0.0,0.0
L000942,B0307,2023-12-28,2024-01-27,30,maturity,False,0.0,0.0,0.0
L000943,B0308,2023-10-16,2024-04-13,180,maturity,False,0.0,0.0,0.0
L000944,B0309,2024-10-31,2025-04-29,180,maturity,False,0.0,0.0,0.0
L000945,B0309,2023-10-20,2024-10-19,365,maturity,False,0.0,0.0,0.0
L000946,B0309,2023-01-09,2023-02-08,30,maturity,False,0.0,0.0,0.0
L000947,B0309,2024-03-17,2024-05-16,60,maturity,False,0.0,0.0,0.0
L000948,B0309,2023-09-28,2023-12-27,90,maturity,False,0.0,0.0,0.0
L000949,B0310,2024-01-10,2024-02-09,30,maturity,False,0.0,0.0,0.0
L000950,B0310,2024-02-15,2024-03-16,30,maturity,False,0.0,0.0,0.0
L000951,B0310,2024-08-06,2025-08-06,365,maturity,False,0.0,0.0,0.0
L000952,B0310,2023-07-19,2023-10-17,90,maturity,False,0.0,0.0,0.0
L000953,B0311,2023-10-23,2023-11-22,30,maturity,False,0.0,0.0,0.0
L000954,B0311,2024-01-31,2025-01-30,365,maturity,False,0.0,0.0,0.0
L000955,B0311,2024-04-06,2025-04-06,365,maturity,False,0.0,0.0,0.0
L000956,B0311,2023-10-14,2024-10-13,365,maturity,False,0.0,0.0,0.0
L000957,B0311,2024-11-27,2025-11-27,365,maturity,False,0.0,0.0,0.0
L000958,B0312,2023-05-12,2023-06-11,30,maturity,False,0.0,0.0,0.0
L000959,B0313,2024-01-18,2024-04-17,90,maturity,False,0.0,0.0,0.0
L000960,B0313,2024-07-25,2024-10-23,90,maturity,False,0.0,0.0,0.0
L000961,B0313,2023-05-28,2023-07-27,60,maturity,False,0.0,0.0,0.0
L000962,B0313,2024-09-08,2025-09-08,365,maturity,False,0.0,0.0,0.0
L000963,B0314,2024-05-27,2024-06-26,30,maturity,False,0.0,0.0,0.0
L000964,B0314,2023-02-16,2023-03-18,30,maturity,False,0.0,0.0,0.0
L000965,B0314,2023-05-21,2023-08-19,90,maturity,False,0.0,0.0,0.0
L000966,B0314,2024-04-30,2025-04-30,365,maturity,False,0.0,0.0,0.0
L000967,B0315,2023-06-02,2024-06-01,365,maturity,False,0.0,0.0,0.0
L000968,B0315,2024-06-11,2024-08-10,60,maturity,False,0.0,0.0,0.0
L000969,B0315,2023-12-02,2024-12-01,365,maturity,False,0.0,0.0,0.0
L000970,B0315,2023-11-23,2024-01-22,60,maturity,False,0.0,0.0,0.0
L000971,B0316,2024-09-23,2024-12-22,90,maturity,False,0.0,0.0,0.0
L000972,B0316,2024-08-30,2024-11-28,90,maturity,False,0.0,0.0,0.0
L000973,B0316,2024-06-03,2025-06-03,365,maturity,False,0.0,0.0,0.0
L000974,B0316,2024-06-29,2024-12-26,180,maturity,False,0.0,0.0,0.0
L000975,B0317,2023-11-03,2024-05-01,180,maturity,False,0.0,0.0,0.0
L000976,B0317,2023-01-18,2023-04-18,90,maturity,False,0.0,0.0,0.0
L000977,B0317,2023-12-06,2024-01-05,30,maturity,False,0.0,0.0,0.0
L000978,B0317,2024-03-02,2025-03-02,365,maturity,False,0.0,0.0,0.0
L000979,B0317,2023-11-12,2023-12-12,30,maturity,False,0.0,0.0,0.0
L000980,B0318,2024-04-30,2024-07-29,90,maturity,False,0.0,0.0,0.0
L000981,B0318,2024-11-02,2025-11-02,365,maturity,False,0.0,0.0,0.0
L000982,B0318,2024-08-14,2024-10-13,60,maturity,False,0.0,0.0,0.0
L000983,B0318,2023-02-22,2024-02-22,365,maturity,False,0.0,0.0,0.0
L000984,B0318,2024-05-06,2024-07-05,60,maturity,False,0.0,0.0,0.0
L000985,B0319,2024-10-06,2025-10-06,365,maturity,False,0.0,0.0,0.0
L000986,B0319,2024-01-25,2024-03-25,60,maturity,False,0.0,0.0,0.0
L000987,B0319,2024-11-28,2025-01-27,60,maturity,False,0.0,0.0,0.0
L000988,B0319,2023-02-02,2024-02-02,365,maturity,False,0.0,0.0,0.0
L000989,B0319,2024-12-18,2025-01-17,30,maturity,False,0.0,0.0,0.0
L000990,B0320,2023-01-20,2023-07-19,180,maturity,False,0.0,0.0,0.0
L000991,B0320,2023-11-18,2024-05-16,180,maturity,False,0.0,0.0,0.0
L000992,B0321,2024-02-27,2024-04-27,60,maturity,False,0.0,0.0,0.0
L000993,B0321,2024-02-25,2025-02-24,365,maturity,False,0.0,0.0,0.0
L000994,B0322,2024-04-27,2024-05-27,30,maturity,False,0.0,0.0,0.0
L000995,B0322,2024-12-23,2025-02-21,60,maturity,False,0.0,0.0,0.0
L000996,B0322,2024-06-15,2024-08-14,60,maturity,False,0.0,0.0,0.0
L000997,B0322,2024-07-28,2024-10-26,90,maturity,False,0.0,0.0,0.0
L000998,B0322,2024-11-09,2025-05-08,180,maturity,False,0.0,0.0,0.0
L000999,B0323,2024-01-21,2024-04-20,90,maturity,False,0.0,0.0,0.0
L001000,B0323,2023-06-27,2023-12-24,180,maturity,False,0.0,0.0,0.0
L001001,B0323,2024-06-29,2024-09-27,90,maturity,False,0.0,0.0,0.0
L001002,B0323,2024-07-13,2024-10-11,90,maturity,False,0.0,0.0,0.0
L001003,B0323,2024-11-23,2025-02-21,90,maturity,False,0.0,0.0,0.0
L001004,B0324,2024-05-10,2024-07-09,60,maturity,False,0.0,0.0,0.0
L001005,B0324,2023-09-10,2023-12-09,90,maturity,False,0.0,0.0,0.0
L001006,B0324,2024-07-25,2024-10-23,90,maturity,False,0.0,0.0,0.0
L001007,B0324,2023-08-19,2023-11-17,90,maturity,False,0.0,0.0,0.0
L001008,B0324,2023-10-23,2023-12-22,60,maturity,False,0.0,0.0,0.0
L001009,B0325,2023-11-21,2024-05-19,180,maturity,False,0.0,0.0,0.0
L001010,B0325,2023-12-24,2024-12-23,365,maturity,False,0.0,0.0,0.0
L001011,B0325,2023-10-08,2024-01-06,90,maturity,False,0.0,0.0,0.0
L001012,B0325,2023-05-05,2024-05-04,365,maturity,False,0.0,0.0,0.0
L001013,B0326,2024-01-24,2024-07-22,180,maturity,False,0.0,0.0,0.0
L001014,B0326,2023-12-20,2024-02-18,60,maturity,False,0.0,0.0,0.0
L001015,B0326,2023-10-25,2023-11-24,30,maturity,False,0.0,0.0,0.0
L001016,B0326,2023-10-22,2023-11-21,30,maturity,False,0.0,0.0,0.0
L001017,B0326,2023-12-21,2024-06-18,180,maturity,False,0.0,0.0,0.0
L001018,B0327,2024-05-05,2024-07-04,60,maturity,False,0.0,0.0,0.0
L001019,B0327,2023-07-26,2024-07-25,365,maturity,False,0.0,0.0,0.0
L001020,B0327,2023-10-05,2024-10-04,365,maturity,False,0.0,0.0,0.0
L001021,B0328,2023-05-21,2023-06-20,30,maturity,False,0.0,0.0,0.0
L001022,B0328,2024-09-22,2025-09-22,365,maturity,False,0.0,0.0,0.0
L001023,B0328,2023-09-03,2023-11-02,60,maturity,False,0.0,0.0,0.0
L001024,B0329,2024-11-16,2025-11-16,365,maturity,False,0.0,0.0,0.0
L001025,B0330,2024-10-15,2024-12-14,60,maturity,False,0.0,0.0,0.0
L001026,B0330,2023-02-23,2023-03-25,30,maturity,False,0.0,0.0,0.0
L001027,B0331,2023-12-05,2024-06-02,180,maturity,False,0.0,0.0,0.0
L001028,B0331,2023-04-13,2023-06-12,60,maturity,False,0.0,0.0,0.0
L001029,B0331,2023-01-06,2024-01-06,365,maturity,False,0.0,0.0,0.0
L001030,B0331,2023-06-11,2023-12-08,180,maturity,False,0.0,0.0,0.0
L001031,B0332,2024-05-03,2024-07-02,60,maturity,False,0.0,0.0,0.0
L001032,B0332,2023-10-22,2024-01-20,90,maturity,False,0.0,0.0,0.0
L001033,B0332,2023-10-20,2023-11-19,30,maturity,False,0.0,0.0,0.0
L001034,B0332,2023-04-02,2024-04-01,365,maturity,False,0.0,0.0,0.0
L001035,B0333,2024-07-01,2024-07-31,30,maturity,False,0.0,0.0,0.0
L001036,B0333,2023-06-29,2023-12-26,180,maturity,False,0.0,0.0,0.0
L001037,B0334,2023-02-07,2023-08-06,180,maturity,False,0.0,0.0,0.0
L001038,B0334,2024-05-22,2024-07-21,60,maturity,False,0.0,0.0,0.0
L001039,B0335,2023-02-08,2023-03-10,30,maturity,False,0.0,0.0,0.0
L001040,B0335,2023-11-02,2024-11-01,365,maturity,False,0.0,0.0,0.0
L001041,B0335,2024-09-09,2024-10-09,30,maturity,False,0.0,0.0,0.0
L001042,B0336,2023-10-19,2024-04-16,180,maturity,False,0.0,0.0,0.0
L001043,B0336,2024-10-18,2025-10-18,365,maturity,False,0.0,0.0,0.0
L001044,B0336,2024-06-20,2024-12-17,180,maturity,False,0.0,0.0,0.0
L001045,B0337,2024-05-31,2024-11-27,180,maturity,False,0.0,0.0,0.0
L001046,B0337,2023-10-07,2023-12-06,60,maturity,False,0.0,0.0,0.0
L001047,B0338,2023-12-05,2024-02-03,60,maturity,False,0.0,0.0,0.0
L001048,B0339,2024-10-25,2025-01-23,90,maturity,False,0.0,0.0,0.0
L001049,B0339,2023-07-10,2023-08-09,30,maturity,False,0.0,0.0,0.0
L001050,B0339,2023-12-12,2024-03-11,90,maturity,False,0.0,0.0,0.0
L001051,B0339,2024-08-04,2024-10-03,60,maturity,False,0.0,0.0,0.0
L001052,B0340,2024-09-17,2025-03-16,180,maturity,False,0.0,0.0,0.0
L001053,B0340,2024-03-13,2025-03-13,365,maturity,False,0.0,0.0,0.0
